id,address,address_type,created_time,updated_time,credibility
3612bc09-7eb2-46d3-86a3-f656b3bd58a9,mc.rockylinux.si,hostname,2024-01-26 14:09:04,,1
29c90606-f666-44c5-b122-a3a6a83898bd,1fb78440dc44b0900b27260a16d9771e,FileHash-MD5,2024-01-26 14:09:04,,1
9c136f58-7d8e-429a-9f1e-9c89432a47da,3fae93618edffe4331d18d8b8e6df693,FileHash-MD5,2024-01-26 14:09:04,,1
fe63771a-5123-4ad1-afe6-db203b64cc0d,62a06bea8c6e276b5e532944cfc863e5,FileHash-MD5,2024-01-26 14:09:04,,1
d9d75f86-7e97-4f4a-a0c4-acd9870f5b92,6e793efe40e355643423f53de43952d3,FileHash-MD5,2024-01-26 14:09:04,,1
290a7321-f3e2-417f-96b8-6da5c5b9c942,9039ae16e5aaa63d9ffe88dfaf0f5108,FileHash-MD5,2024-01-26 14:09:04,,1
26ec2a35-103a-44fb-9363-d4ab2e6aeb74,95f745a5db131b1ca34e44848fd52edb,FileHash-MD5,2024-01-26 14:09:04,,1
7531dcb2-0804-4d2e-8a1b-0a8c8d7fb16b,c1070aca9fcff4a32934e6c8aee4ea48,FileHash-MD5,2024-01-26 14:09:04,,1
07f2de29-62ad-45d4-a87b-43dbe494a723,fe53c38f61588efd90af97185e315612,FileHash-MD5,2024-01-26 14:09:04,,1
ed127f7b-3654-4983-9dd3-2e72220e580d,06641b9b3b5088c48c7660ad3bf160bc87a929fd,FileHash-SHA1,2024-01-26 14:09:04,,1
50f78c81-6dd8-4ec6-998e-5ad301f7b77e,09bd9b17a64b20ba66582dbc3ce08169697177a8,FileHash-SHA1,2024-01-26 14:09:04,,1
3390b254-8b80-4268-81ad-69b93d06d8ae,270e1c883b498eaff08550e823f5cac21bff54e5,FileHash-SHA1,2024-01-26 14:09:04,,1
9bd7dbc0-be5a-40fa-9fa8-f918a1ea52f1,452ec481734a78597b928e29c834d0e43fb2c7e2,FileHash-SHA1,2024-01-26 14:09:04,,1
